Date_Time,港外波高_HS
2023/1/21 09:00,1.54
2023/1/21 10:00,1.63
2023/1/21 11:00,1.53
2023/1/21 12:00,1.44
2023/1/21 13:00,1.62
2023/1/21 14:00,1.62
2023/1/21 15:00,1.6
2023/1/21 16:00,1.48
2023/1/21 17:00,1.36
2023/1/21 18:00,1.39
2023/1/21 19:00,1.42
2023/1/21 20:00,1.2
2023/1/21 21:00,1.5
2023/1/21 22:00,1.65
2023/1/21 23:00,1.55
2023/1/22 00:00,1.5
2023/1/22 01:00,1.62
2023/1/22 02:00,1.66
2023/1/22 03:00,1.55
2023/1/22 04:00,1.7
2023/1/22 05:00,1.97
2023/1/22 06:00,1.82
2023/1/22 07:00,1.71
2023/1/22 08:00,1.7
2023/1/22 09:00,1.73
2023/1/22 10:00,1.8
2023/1/22 11:00,1.69
2023/1/22 12:00,1.79
2023/1/22 13:00,1.65
2023/1/22 14:00,1.56
2023/1/22 15:00,1.72
2023/1/22 16:00,1.71
2023/1/22 17:00,1.79
2023/1/22 18:00,1.6
2023/1/22 19:00,1.48
2023/1/22 20:00,1.58
2023/1/22 21:00,1.55
2023/1/22 22:00,1.51
2023/1/22 23:00,1.67
2023/1/23 00:00,1.75
2023/1/23 01:00,1.67
2023/1/23 02:00,1.64
2023/1/23 03:00,1.7
2023/1/23 04:00,1.59
2023/1/23 05:00,1.71
2023/1/23 06:00,1.67
2023/1/23 07:00,1.63
2023/1/23 08:00,1.6
2023/1/23 09:00,1.61
2023/1/23 10:00,1.76
2023/1/23 11:00,1.67
2023/1/23 12:00,1.53
2023/1/23 13:00,1.38
2023/1/23 14:00,1.44
2023/1/23 15:00,1.45
2023/1/23 16:00,1.35
2023/1/23 17:00,1.54
2023/1/23 18:00,1.51
2023/1/23 19:00,1.26
2023/1/23 20:00,1.29
2023/1/23 21:00,1.36
2023/1/23 22:00,1.47
2023/1/23 23:00,1.34
2023/1/24 00:00,1.46
2023/1/24 01:00,1.7
2023/1/24 02:00,1.71
2023/1/24 03:00,1.86
2023/1/24 04:00,1.85
2023/1/24 05:00,2.07
2023/1/24 06:00,2.54
2023/1/24 07:00,2.87
2023/1/24 08:00,2.87
2023/1/24 09:00,2.95
2023/1/24 10:00,2.86
2023/1/24 11:00,2.89
2023/1/24 12:00,2.93
2023/1/24 13:00,2.81
2023/1/24 14:00,3.1
2023/1/24 15:00,2.79
2023/1/24 16:00,2.54
2023/1/24 17:00,2.65
2023/1/24 18:00,2.29
2023/1/24 19:00,2.41
2023/1/24 20:00,2.23
2023/1/24 21:00,2.29
2023/1/24 22:00,2.53
2023/1/24 23:00,2.78
2023/1/25 00:00,2.87
2023/1/25 01:00,2.84
2023/1/25 02:00,2.57
2023/1/25 03:00,2.41
2023/1/25 04:00,2.34
2023/1/25 05:00,2.47
2023/1/25 06:00,2.35
2023/1/25 07:00,1.96
2023/1/25 08:00,1.98
2023/1/25 09:00,2.02
2023/1/25 10:00,1.77
2023/1/25 11:00,1.76
2023/1/25 12:00,1.72
2023/1/25 13:00,1.9
2023/1/25 14:00,1.76
2023/1/25 15:00,1.84
2023/1/25 16:00,1.75
2023/1/25 17:00,1.87
2023/1/25 18:00,1.87
2023/1/25 19:00,1.75
2023/1/25 20:00,1.69
2023/1/25 21:00,1.6
2023/1/25 22:00,1.51
2023/1/25 23:00,1.62
2023/1/26 00:00,1.45
2023/1/26 01:00,1.39
2023/1/26 02:00,1.49
2023/1/26 03:00,1.43
2023/1/26 04:00,1.35
2023/1/26 05:00,1.56
2023/1/26 06:00,1.58
2023/1/26 07:00,1.41
2023/1/26 08:00,1.24
2023/1/26 09:00,1.11
2023/1/26 10:00,1.17
2023/1/26 11:00,1.11
2023/1/26 12:00,1.12
2023/1/26 13:00,1.01
2023/1/26 14:00,1.02
2023/1/26 15:00,0.92
2023/1/26 16:00,0.92
2023/1/26 17:00,1.04
2023/1/26 18:00,1.07
2023/1/26 19:00,1.19
2023/1/26 20:00,1.06
2023/1/26 21:00,1.02
2023/1/26 22:00,1.03
2023/1/26 23:00,1.05
2023/1/27 00:00,1.03
2023/1/27 01:00,1.08
2023/1/27 02:00,1.04
2023/1/27 03:00,1.04
2023/1/27 04:00,1.19
2023/1/27 05:00,1.27
2023/1/27 06:00,1.45
2023/1/27 07:00,1.65
2023/1/27 08:00,1.75
2023/1/27 09:00,1.64
2023/1/27 10:00,1.97
2023/1/27 11:00,2.06
2023/1/27 12:00,2.36
2023/1/27 13:00,2.47
2023/1/27 14:00,2.6
2023/1/27 15:00,2.86
2023/1/27 16:00,2.85
2023/1/27 17:00,3.22
2023/1/27 18:00,3.15
2023/1/27 19:00,3.51
2023/1/27 20:00,2.97
2023/1/27 21:00,3.02
2023/1/27 22:00,3.02
2023/1/27 23:00,2.98
2023/1/28 00:00,2.48
2023/1/28 01:00,2.49
2023/1/28 02:00,1.95
2023/1/28 03:00,2.21
2023/1/28 04:00,2.27
2023/1/28 05:00,2.19
2023/1/28 06:00,2.03
2023/1/28 07:00,1.75
2023/1/28 08:00,1.78
2023/1/28 09:00,1.87
2023/1/28 10:00,1.75
2023/1/28 11:00,1.92
2023/1/28 12:00,1.97
2023/1/28 13:00,1.75
2023/1/28 14:00,1.8
2023/1/28 15:00,1.72
2023/1/28 16:00,1.76
2023/1/28 17:00,1.64
2023/1/28 18:00,1.55
2023/1/28 19:00,1.65
2023/1/28 20:00,1.6
2023/1/28 21:00,1.77
2023/1/28 22:00,1.68
2023/1/28 23:00,1.54
2023/1/29 00:00,1.41
2023/1/29 01:00,1.51
2023/1/29 02:00,1.4
2023/1/29 03:00,1.46
2023/1/29 04:00,1.42
2023/1/29 05:00,1.41
2023/1/29 06:00,1.47
2023/1/29 07:00,1.55
2023/1/29 08:00,1.56
2023/1/29 09:00,1.4
2023/1/29 10:00,1.34
2023/1/29 11:00,1.4
2023/1/29 12:00,1.33
2023/1/29 13:00,1.23
2023/1/29 14:00,1.16
2023/1/29 15:00,1.18
2023/1/29 16:00,1.11
2023/1/29 17:00,1.18
2023/1/29 18:00,1.18
